[2026-02-26 09:48:39.682] [INFO    ] [services.logging_service] [INFO]     Mur 2.55m : 1 intervalles, portée 2.55m
[2026-02-26 09:48:39.691] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 2.493m -> 2.493m (dist=0.000m)
[2026-02-26 09:48:39.698] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 5.043m -> 5.043m (dist=0.000m)
[2026-02-26 09:48:39.707] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.716] [INFO    ] [services.logging_service] [INFO]   Mur V : X=-5.14m | L=2.55m | Y=[2.49..5.04]m
[2026-02-26 09:48:39.724] [INFO    ] [services.logging_service] [INFO]     Mur 2.55m : 1 intervalles, portée 2.55m
[2026-02-26 09:48:39.731] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 2.493m -> 2.493m (dist=0.000m)
[2026-02-26 09:48:39.741] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.748] [INFO    ] [services.logging_service] [INFO]   Mur V : X=-4.30m | L=3.73m | Y=[-2.33..1.40]m
[2026-02-26 09:48:39.757] [INFO    ] [services.logging_service] [INFO]     Mur 3.73m : 1 intervalles, portée 3.73m
[2026-02-26 09:48:39.763] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -2.329m -> -2.329m (dist=0.000m)
[2026-02-26 09:48:39.771] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 1.398m -> 1.398m (dist=0.000m)
[2026-02-26 09:48:39.776] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.782] [INFO    ] [services.logging_service] [INFO]   Mur V : X=4.17m | L=2.44m | Y=[0.75..3.32]m
[2026-02-26 09:48:39.789] [INFO    ] [services.logging_service] [INFO]     Mur 2.57m : 1 intervalles, portée 2.57m
[2026-02-26 09:48:39.799] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.807] [INFO    ] [services.logging_service] [INFO]   Mur V : X=-6.42m | L=3.73m | Y=[-2.33..1.40]m
[2026-02-26 09:48:39.815] [INFO    ] [services.logging_service] [INFO]     Mur 3.73m : 1 intervalles, portée 3.73m
[2026-02-26 09:48:39.822] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -2.329m -> -2.329m (dist=0.000m)
[2026-02-26 09:48:39.830] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.839] [INFO    ] [services.logging_service] [INFO]   Sous-total avant dédoublonnage: 33 points
[2026-02-26 09:48:39.852] [INFO    ] [services.logging_service] [INFO]   Après dédoublonnage: 28 points
[2026-02-26 09:48:39.865] [INFO    ] [services.logging_service] [INFO]   Espacement min 2.0m: 10 supprimés
[2026-02-26 09:48:39.895] [INFO    ] [services.logging_service] [INFO]   (Premier niveau - pas de continuité)
[2026-02-26 09:48:39.910] [INFO    ] [services.logging_service] [INFO]   Validation murs: 18 OK | 0 corrigés | 0 supprimés
[2026-02-26 09:48:39.918] [INFO    ] [services.logging_service] [INFO] ==> TOTAL FINAL PLANT 2 : 18 poteaux
[2026-02-26 09:48:39.927] [INFO    ] [services.logging_service] [INFO] 'PLANT 2': 0 existants | 0 doublons | 18 nouveaux
[2026-02-26 09:48:39.939] [INFO    ] [services.logging_service] [INFO] Famille: 305x305x97UC (400x400mm)
[2026-02-26 09:56:15.237] [INFO    ] [services.revit_service] RevitService initialise - Doc: VIVIENDA
[2026-02-26 09:56:15.242] [INFO    ] [services.geometry_service] GeometryService initialise
[2026-02-26 09:56:15.250] [INFO    ] [services.logging_service] LoggingService initialise - Session: 7a322c17
[2026-02-26 09:56:15.262] [INFO    ] [services.logging_service] [INFO] === Placement v4.1 - nivel -15 (h=3350mm) ===
[2026-02-26 09:56:15.262] [INFO    ] [services.logging_service] [INFO]   Portée cible=4.0m | max=5.5m | mur min h=2.0m
[2026-02-26 09:56:15.275] [INFO    ] [services.logging_service] [INFO] Murs : 45 total | 23 structurels | 21 trop bas (<2.0m) | 1 trop courts
[2026-02-26 09:56:15.297] [INFO    ] [services.logging_service] [INFO]   Axe dominant : H (H=51.7m | V=43.2m) → b dans sens X (horizontal)
[2026-02-26 09:56:15.297] [INFO    ] [services.logging_service] [INFO] Groupes : 6 murs H | 10 murs V
[2026-02-26 09:56:15.297] [INFO    ] [services.logging_service] [INFO]   --- Murs Horizontaux ---
[2026-02-26 09:56:15.307] [INFO    ] [services.logging_service] [INFO]   H : Y=1.40m | L=4.47m | X=[-6.42..-1.95]m
[2026-02-26 09:56:15.308] [INFO    ] [services.logging_service] [INFO]     Mur 4.47m : 1 intervalles, portée 4.47m
[2026-02-26 09:56:15.310] [INFO    ] [services.logging_service] [INFO]     Snap mur perp : -6.419m → -6.419m
[2026-02-26 09:56:15.311] [INFO    ] [services.logging_service] [INFO]     Snap mur perp : -1.946m → -1.946m
[2026-02-26 09:56:15.311] [INFO    ] [services.logging_service] [INFO]     → 2 poteaux
[2026-02-26 09:56:15.312] [INFO    ] [services.logging_service] [INFO]   H : Y=5.04m | L=8.27m | X=[-5.14..3.13]m
[2026-02-26 09:56:15.312] [INFO    ] [services.logging_service] [INFO]     Mur 8.27m : 1 intervalles, portée 8.27m
[2026-02-26 09:56:15.312] [INFO    ] [services.logging_service] [INFO]     Snap mur perp : -5.139m → -5.139m
[2026-02-26 09:56:15.312] [INFO    ] [services.logging_service] [INFO]     Snap mur perp : 3.133m → 3.133m
[2026-02-26 09:56:15.317] [INFO    ] [services.logging_service] [INFO]     → 2 poteaux
[2026-02-26 09:56:15.318] [INFO    ] [services.logging_service] [INFO]   H : Y=2.49m | L=17.27m | X=[-10.36..7.80]m
[2026-02-26 09:56:15.319] [INFO    ] [services.logging_service] [INFO]     Mur 18.16m : 2 intervalles, portée 9.08m
[2026-02-26 09:56:15.319] [INFO    ] [services.logging_service] [INFO]     Snap mur perp : -10.359m → -10.359m
[2026-02-26 09:56:15.320] [INFO    ] [services.logging_service] [INFO]     Snap mur perp : 7.797m → 7.797m
[2026-02-26 09:56:15.320] [INFO    ] [services.logging_service] [INFO]     → 3 poteaux
[2026-02-26 09:56:15.321] [INFO    ] [services.logging_service] [INFO]   H : Y=-0.56m | L=4.66m | X=[3.14..7.80]m
[2026-02-26 09:56:15.321] [INFO    ] [services.logging_service] [INFO]     Mur 4.66m : 1 intervalles, portée 4.66m
[2026-02-26 09:56:15.322] [INFO    ] [services.logging_service] [INFO]     Snap mur perp : 3.137m → 3.133m
[2026-02-26 09:56:15.323] [INFO    ] [services.logging_service] [INFO]     Snap mur perp : 7.797m → 7.797m
[2026-02-26 09:56:15.323] [INFO    ] [services.logging_service] [INFO]     → 2 poteaux
[2026-02-26 09:56:15.324] [INFO    ] [services.logging_service] [INFO]   H : Y=5.80m | L=4.66m | X=[3.13..7.80]m
[2026-02-26 09:56:15.324] [INFO    ] [services.logging_service] [INFO]     Mur 4.66m : 1 intervalles, portée 4.66m
[2026-02-26 09:56:15.325] [INFO    ] [services.logging_service] [INFO]     Snap mur perp : 3.133m → 3.133m
[2026-02-26 09:56:15.326] [INFO    ] [services.logging_service] [INFO]     → 2 poteaux
[2026-02-26 09:56:15.326] [INFO    ] [services.logging_service] [INFO]   H : Y=-2.33m | L=12.35m | X=[-10.36..-1.95]m
[2026-02-26 09:56:15.327] [INFO    ] [services.logging_service] [INFO]     Mur 8.41m : 1 intervalles, portée 8.41m
[2026-02-26 09:56:15.328] [INFO    ] [services.logging_service] [INFO]     Snap mur perp : -10.359m → -10.359m
[2026-02-26 09:56:15.329] [INFO    ] [services.logging_service] [INFO]     Snap mur perp : -1.946m → -1.946m
[2026-02-26 09:56:15.330] [INFO    ] [services.logging_service] [INFO]     → 2 poteaux
[2026-02-26 09:56:15.330] [INFO    ] [services.logging_service] [INFO]   --- Murs Verticaux ---
[2026-02-26 09:56:15.331] [INFO    ] [services.logging_service] [INFO]   V : X=-3.03m | L=2.55m | Y=[2.49..5.04]m
[2026-02-26 09:56:15.336] [INFO    ] [services.logging_service] [INFO]     Mur 2.55m : 1 intervalles, portée 2.55m
[2026-02-26 09:56:15.337] [INFO    ] [services.logging_service] [INFO]     Snap mur perp : 2.493m → 2.493m
[2026-02-26 09:56:15.337] [INFO    ] [services.logging_service] [INFO]     Snap mur perp : 5.043m → 5.043m
[2026-02-26 09:56:15.338] [INFO    ] [services.logging_service] [INFO]     → 2 poteaux
[2026-02-26 09:56:15.339] [INFO    ] [services.logging_service] [INFO]   V : X=3.13m | L=6.24m | Y=[-1.49..5.84]m
[2026-02-26 09:56:15.340] [INFO    ] [services.logging_service] [INFO]     Mur 7.33m : 1 intervalles, portée 7.33m
[2026-02-26 09:56:15.341] [INFO    ] [services.logging_service] [INFO]     Snap mur perp : 5.841m → 5.798m
